time,biomass,lactic acid,lactose
146.0,0.0422,41.7970,0.0228
147.0,0.0422,41.7819,0.0228
148.0,0.0422,41.7669,0.0228
149.0,0.0423,41.7518,0.0228
150.0,0.0423,41.7368,0.0228
151.0,0.0423,41.7218,0.0228
152.0,0.0423,41.7068,0.0228
153.0,0.0423,41.6918,0.0228
154.0,0.0423,41.6768,0.0228
155.0,0.0423,41.6618,0.0228
156.0,0.0424,41.6468,0.0228
157.0,0.0424,41.6318,0.0228
158.0,0.0424,41.6169,0.0228
159.0,0.0424,41.6019,0.0228
160.0,0.0424,41.5870,0.0228
161.0,0.0424,41.5720,0.0228
162.0,0.0425,41.5571,0.0228
163.0,0.0425,41.5422,0.0228
164.0,0.0425,41.5272,0.0228
165.0,0.0425,41.5123,0.0228
166.0,0.0425,41.4974,0.0228
167.0,0.0425,41.4825,0.0228
168.0,0.0425,41.4677,0.0228
169.0,0.0426,41.4528,0.0228
170.0,0.0426,41.4379,0.0228
171.0,0.0426,41.4230,0.0228
172.0,0.0426,41.4082,0.0228
173.0,0.0426,41.3933,0.0227
174.0,0.0426,41.3785,0.0227
175.0,0.0426,41.3637,0.0227
176.0,0.0427,41.3489,0.0227
177.0,0.0427,41.3340,0.0227
178.0,0.0427,41.3192,0.0227
179.0,0.0427,41.3044,0.0227
180.0,0.0427,41.2897,0.0227
181.0,0.0427,41.2749,0.0227
182.0,0.0428,41.2601,0.0227
183.0,0.0428,41.2453,0.0227
184.0,0.0428,41.2306,0.0227
185.0,0.0428,41.2158,0.0227
186.0,0.0428,41.2011,0.0227
187.0,0.0428,41.1863,0.0227
188.0,0.0428,41.1716,0.0227
189.0,0.0429,41.1569,0.0227
190.0,0.0429,41.1422,0.0227
191.0,0.0429,41.1275,0.0227
192.0,0.0429,41.1128,0.0227
193.0,0.0429,41.0981,0.0227
194.0,0.0429,41.0834,0.0227
195.0,0.0430,41.0688,0.0227
196.0,0.0430,41.0541,0.0227
197.0,0.0430,41.0394,0.0227
198.0,0.0430,41.0248,0.0227
199.0,0.0430,41.0102,0.0227
200.0,0.0430,40.9955,0.0227
201.0,0.0430,40.9809,0.0227
202.0,0.0431,40.9663,0.0227
203.0,0.0431,40.9517,0.0227
204.0,0.0431,40.9371,0.0227
205.0,0.0431,40.9225,0.0227
206.0,0.0431,40.9079,0.0227
207.0,0.0431,40.8933,0.0227
208.0,0.0432,40.8788,0.0227
209.0,0.0432,40.8642,0.0227
210.0,0.0432,40.8496,0.0227
211.0,0.0432,40.8351,0.0227
212.0,0.0432,40.8206,0.0227
213.0,0.0432,40.8060,0.0227
214.0,0.0432,40.7915,0.0227
215.0,0.0433,40.7770,0.0227
216.0,0.0433,40.7625,0.0227
217.0,0.0433,40.7480,0.0227
218.0,0.0433,40.7335,0.0227
219.0,0.0433,40.7190,0.0226
220.0,0.0433,40.7045,0.0226
221.0,0.0434,40.6901,0.0226
222.0,0.0434,40.6756,0.0226
223.0,0.0434,40.6612,0.0226
224.0,0.0434,40.6467,0.0226
225.0,0.0434,40.6323,0.0226
226.0,0.0434,40.6179,0.0226
227.0,0.0434,40.6034,0.0226
228.0,0.0435,40.5890,0.0226
229.0,0.0435,40.5746,0.0226
230.0,0.0435,40.5602,0.0226
231.0,0.0435,40.5458,0.0226
232.0,0.0435,40.5314,0.0226
233.0,0.0435,40.5171,0.0226
234.0,0.0436,40.5027,0.0226
235.0,0.0436,40.4883,0.0226
236.0,0.0436,40.4740,0.0226
237.0,0.0436,40.4596,0.0226
238.0,0.0436,40.4453,0.0226
239.0,0.0436,40.4310,0.0226
240.0,0.0436,40.4167,0.0226
241.0,0.0437,40.4023,0.0226
242.0,0.0437,40.3880,0.0226
243.0,0.0437,40.3737,0.0226
244.0,0.0437,40.3594,0.0226
245.0,0.0437,40.3452,0.0226
246.0,0.0437,40.3309,0.0226
247.0,0.0438,40.3166,0.0226
248.0,0.0438,40.3023,0.0226
249.0,0.0438,40.2881,0.0226
250.0,0.0438,40.2738,0.0226
251.0,0.0438,40.2596,0.0226
252.0,0.0438,40.2454,0.0226
253.0,0.0439,40.2312,0.0226
254.0,0.0439,40.2169,0.0226
255.0,0.0439,40.2027,0.0226
256.0,0.0439,40.1885,0.0226
257.0,0.0439,40.1743,0.0226
258.0,0.0439,40.1602,0.0226
259.0,0.0439,40.1460,0.0225
260.0,0.0440,40.1318,0.0225
261.0,0.0440,40.1176,0.0225
262.0,0.0440,40.1035,0.0225
263.0,0.0440,40.0893,0.0225
264.0,0.0440,40.0752,0.0225
265.0,0.0440,40.0611,0.0225
266.0,0.0441,40.0469,0.0225
267.0,0.0441,40.0328,0.0225
268.0,0.0441,40.0187,0.0225
