Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL)
145.0,0.0865,43.1995,0.0192
146.0,0.0865,43.1840,0.0191
147.0,0.0866,43.1684,0.0191
148.0,0.0866,43.1529,0.0191
149.0,0.0866,43.1374,0.0191
150.0,0.0866,43.1219,0.0191
151.0,0.0867,43.1063,0.0191
152.0,0.0867,43.0909,0.0191
153.0,0.0867,43.0754,0.0191
154.0,0.0868,43.0599,0.0190
155.0,0.0868,43.0444,0.0190
156.0,0.0868,43.0290,0.0190
157.0,0.0869,43.0135,0.0190
158.0,0.0869,42.9981,0.0190
159.0,0.0869,42.9826,0.0190
160.0,0.0870,42.9672,0.0190
161.0,0.0870,42.9518,0.0189
162.0,0.0870,42.9364,0.0189
163.0,0.0871,42.9209,0.0189
164.0,0.0871,42.9056,0.0189
165.0,0.0871,42.8902,0.0189
166.0,0.0871,42.8748,0.0189
167.0,0.0872,42.8594,0.0189
168.0,0.0872,42.8440,0.0188
169.0,0.0872,42.8287,0.0188
170.0,0.0873,42.8133,0.0188
171.0,0.0873,42.7980,0.0188
172.0,0.0873,42.7827,0.0188
173.0,0.0874,42.7674,0.0188
174.0,0.0874,42.7520,0.0188
175.0,0.0874,42.7367,0.0187
176.0,0.0875,42.7214,0.0187
177.0,0.0875,42.7062,0.0187
178.0,0.0875,42.6909,0.0187
179.0,0.0876,42.6756,0.0187
180.0,0.0876,42.6603,0.0187
181.0,0.0876,42.6451,0.0187
182.0,0.0877,42.6298,0.0186
183.0,0.0877,42.6146,0.0186
184.0,0.0877,42.5994,0.0186
185.0,0.0877,42.5841,0.0186
186.0,0.0878,42.5689,0.0186
187.0,0.0878,42.5537,0.0186
188.0,0.0878,42.5385,0.0186
189.0,0.0879,42.5233,0.0185
190.0,0.0879,42.5082,0.0185
191.0,0.0879,42.4930,0.0185
192.0,0.0880,42.4778,0.0185
193.0,0.0880,42.4627,0.0185
194.0,0.0880,42.4475,0.0185
195.0,0.0881,42.4324,0.0185
196.0,0.0881,42.4172,0.0184
197.0,0.0881,42.4021,0.0184
198.0,0.0882,42.3870,0.0184
199.0,0.0882,42.3719,0.0184
200.0,0.0882,42.3568,0.0184
201.0,0.0882,42.3417,0.0184
202.0,0.0883,42.3266,0.0184
203.0,0.0883,42.3115,0.0183
204.0,0.0883,42.2965,0.0183
205.0,0.0884,42.2814,0.0183
206.0,0.0884,42.2664,0.0183
207.0,0.0884,42.2513,0.0183
208.0,0.0885,42.2363,0.0183
209.0,0.0885,42.2212,0.0183
210.0,0.0885,42.2062,0.0182
211.0,0.0886,42.1912,0.0182
212.0,0.0886,42.1762,0.0182
213.0,0.0886,42.1612,0.0182
214.0,0.0887,42.1462,0.0182
215.0,0.0887,42.1312,0.0182
216.0,0.0887,42.1163,0.0181
217.0,0.0888,42.1013,0.0181
218.0,0.0888,42.0864,0.0181
219.0,0.0888,42.0714,0.0181
220.0,0.0888,42.0565,0.0181
221.0,0.0889,42.0415,0.0181
222.0,0.0889,42.0266,0.0181
223.0,0.0889,42.0117,0.0180
224.0,0.0890,41.9968,0.0180
225.0,0.0890,41.9819,0.0180
226.0,0.0890,41.9670,0.0180
227.0,0.0891,41.9521,0.0180
228.0,0.0891,41.9372,0.0180
229.0,0.0891,41.9224,0.0180
230.0,0.0892,41.9075,0.0179
231.0,0.0892,41.8927,0.0179
232.0,0.0892,41.8778,0.0179
233.0,0.0893,41.8630,0.0179
234.0,0.0893,41.8482,0.0179
235.0,0.0893,41.8333,0.0179
236.0,0.0894,41.8185,0.0178
237.0,0.0894,41.8037,0.0178
238.0,0.0894,41.7889,0.0178
239.0,0.0895,41.7741,0.0178
240.0,0.0895,41.7593,0.0178
241.0,0.0895,41.7446,0.0178
242.0,0.0895,41.7298,0.0178
243.0,0.0896,41.7151,0.0177
244.0,0.0896,41.7003,0.0177
245.0,0.0896,41.6856,0.0177
246.0,0.0897,41.6708,0.0177
247.0,0.0897,41.6561,0.0177
248.0,0.0897,41.6414,0.0177
249.0,0.0898,41.6267,0.0177
250.0,0.0898,41.6120,0.0176
251.0,0.0898,41.5973,0.0176
252.0,0.0899,41.5826,0.0176
253.0,0.0899,41.5679,0.0176
254.0,0.0899,41.5532,0.0176
255.0,0.0900,41.5386,0.0176
256.0,0.0900,41.5239,0.0175
257.0,0.0900,41.5093,0.0175
258.0,0.0901,41.4946,0.0175
259.0,0.0901,41.4800,0.0175
260.0,0.0901,41.4654,0.0175
261.0,0.0901,41.4508,0.0175
262.0,0.0902,41.4361,0.0174
263.0,0.0902,41.4215,0.0174
264.0,0.0902,41.4070,0.0174
265.0,0.0903,41.3924,0.0174
266.0,0.0903,41.3778,0.0174
267.0,0.0903,41.3632,0.0174
268.0,0.0904,41.3487,0.0174
269.0,0.0904,41.3341,0.0173
270.0,0.0904,41.3196,0.0173
271.0,0.0905,41.3050,0.0173
272.0,0.0905,41.2905,0.0173
273.0,0.0905,41.2760,0.0173
274.0,0.0906,41.2614,0.0173
275.0,0.0906,41.2469,0.0172
276.0,0.0906,41.2324,0.0172
277.0,0.0907,41.2179,0.0172
278.0,0.0907,41.2035,0.0172
279.0,0.0907,41.1890,0.0172
280.0,0.0908,41.1745,0.0172
281.0,0.0908,41.1600,0.0172
282.0,0.0908,41.1456,0.0171
283.0,0.0909,41.1311,0.0171
284.0,0.0909,41.1167,0.0171
285.0,0.0909,41.1023,0.0171
286.0,0.0909,41.0878,0.0171
287.0,0.0910,41.0734,0.0171
288.0,0.0910,41.0590,0.0170
289.0,0.0910,41.0446,0.0170
290.0,0.0911,41.0302,0.0170
291.0,0.0911,41.0158,0.0170
292.0,0.0911,41.0015,0.0170
293.0,0.0912,40.9871,0.0170
294.0,0.0912,40.9727,0.0169
295.0,0.0912,40.9584,0.0169
296.0,0.0913,40.9440,0.0169
297.0,0.0913,40.9297,0.0169
298.0,0.0913,40.9153,0.0169
299.0,0.0914,40.9010,0.0169
300.0,0.0914,40.8867,0.0168
301.0,0.0914,40.8724,0.0168
302.0,0.0915,40.8581,0.0168
303.0,0.0915,40.8438,0.0168
304.0,0.0915,40.8295,0.0168
305.0,0.0916,40.8152,0.0168
306.0,0.0916,40.8010,0.0167
307.0,0.0916,40.7867,0.0167
308.0,0.0917,40.7724,0.0167
309.0,0.0917,40.7582,0.0167
310.0,0.0917,40.7439,0.0167
311.0,0.0917,40.7297,0.0167
312.0,0.0918,40.7155,0.0166
313.0,0.0918,40.7013,0.0166
314.0,0.0918,40.6870,0.0166
315.0,0.0919,40.6728,0.0166
316.0,0.0919,40.6586,0.0166
317.0,0.0919,40.6444,0.0166
318.0,0.0920,40.6303,0.0165
319.0,0.0920,40.6161,0.0165
320.0,0.0920,40.6019,0.0165
321.0,0.0921,40.5878,0.0165
322.0,0.0921,40.5736,0.0165
323.0,0.0921,40.5595,0.0165
324.0,0.0922,40.5453,0.0165
325.0,0.0922,40.5312,0.0164
326.0,0.0922,40.5171,0.0164
327.0,0.0923,40.5029,0.0164
328.0,0.0923,40.4888,0.0164
329.0,0.0923,40.4747,0.0164
330.0,0.0924,40.4606,0.0164
331.0,0.0924,40.4466,0.0163
332.0,0.0924,40.4325,0.0163
333.0,0.0925,40.4184,0.0163
334.0,0.0925,40.4043,0.0163
335.0,0.0925,40.3903,0.0163
336.0,0.0926,40.3762,0.0162
337.0,0.0926,40.3622,0.0162
338.0,0.0926,40.3482,0.0162
339.0,0.0926,40.3341,0.0162
340.0,0.0927,40.3201,0.0162
341.0,0.0927,40.3061,0.0162
342.0,0.0927,40.2921,0.0161
343.0,0.0928,40.2781,0.0161
344.0,0.0928,40.2641,0.0161
345.0,0.0928,40.2501,0.0161
346.0,0.0929,40.2361,0.0161
347.0,0.0929,40.2222,0.0161
348.0,0.0929,40.2082,0.0160
349.0,0.0930,40.1943,0.0160
350.0,0.0930,40.1803,0.0160
351.0,0.0930,40.1664,0.0160
352.0,0.0931,40.1524,0.0160
353.0,0.0931,40.1385,0.0160
354.0,0.0931,40.1246,0.0159
355.0,0.0932,40.1107,0.0159
356.0,0.0932,40.0968,0.0159
357.0,0.0932,40.0829,0.0159
358.0,0.0933,40.0690,0.0159
359.0,0.0933,40.0551,0.0159
360.0,0.0933,40.0412,0.0158
361.0,0.0934,40.0274,0.0158
362.0,0.0934,40.0135,0.0158
363.0,0.0934,39.9997,0.0158
364.0,0.0935,39.9858,0.0158
365.0,0.0935,39.9720,0.0158
366.0,0.0935,39.9581,0.0157
367.0,0.0936,39.9443,0.0157
368.0,0.0936,39.9305,0.0157
369.0,0.0936,39.9167,0.0157
370.0,0.0937,39.9029,0.0157
371.0,0.0937,39.8891,0.0156
372.0,0.0937,39.8753,0.0156
373.0,0.0938,39.8615,0.0156
374.0,0.0938,39.8477,0.0156
375.0,0.0938,39.8340,0.0156
376.0,0.0938,39.8202,0.0156
377.0,0.0939,39.8065,0.0155
378.0,0.0939,39.7927,0.0155
379.0,0.0939,39.7790,0.0155
380.0,0.0940,39.7653,0.0155
381.0,0.0940,39.7515,0.0155
382.0,0.0940,39.7378,0.0155
383.0,0.0941,39.7241,0.0154
384.0,0.0941,39.7104,0.0154
385.0,0.0941,39.6967,0.0154
386.0,0.0942,39.6830,0.0154
387.0,0.0942,39.6693,0.0154
388.0,0.0942,39.6557,0.0154
389.0,0.0943,39.6420,0.0153
390.0,0.0943,39.6283,0.0153
391.0,0.0943,39.6147,0.0153
392.0,0.0944,39.6010,0.0153
393.0,0.0944,39.5874,0.0153
394.0,0.0944,39.5738,0.0152
395.0,0.0945,39.5601,0.0152
396.0,0.0945,39.5465,0.0152
397.0,0.0945,39.5329,0.0152
398.0,0.0946,39.5193,0.0152
399.0,0.0946,39.5057,0.0152
400.0,0.0946,39.4921,0.0151
401.0,0.0947,39.4785,0.0151
402.0,0.0947,39.4650,0.0151
403.0,0.0947,39.4514,0.0151
404.0,0.0948,39.4378,0.0151
405.0,0.0948,39.4243,0.0150
406.0,0.0948,39.4107,0.0150
407.0,0.0949,39.3972,0.0150
408.0,0.0949,39.3837,0.0150
409.0,0.0949,39.3701,0.0150
410.0,0.0950,39.3566,0.0150
411.0,0.0950,39.3431,0.0149
412.0,0.0950,39.3296,0.0149
413.0,0.0951,39.3161,0.0149
414.0,0.0951,39.3026,0.0149
415.0,0.0951,39.2891,0.0149
416.0,0.0952,39.2757,0.0148
417.0,0.0952,39.2622,0.0148
418.0,0.0952,39.2487,0.0148
419.0,0.0953,39.2353,0.0148
420.0,0.0953,39.2218,0.0148
421.0,0.0953,39.2084,0.0148
422.0,0.0953,39.1949,0.0147
423.0,0.0954,39.1815,0.0147
424.0,0.0954,39.1681,0.0147
425.0,0.0954,39.1547,0.0147
426.0,0.0955,39.1413,0.0147
427.0,0.0955,39.1279,0.0146
428.0,0.0955,39.1145,0.0146
429.0,0.0956,39.1011,0.0146
430.0,0.0956,39.0877,0.0146
431.0,0.0956,39.0743,0.0146
432.0,0.0957,39.0610,0.0146
433.0,0.0957,39.0476,0.0145
434.0,0.0957,39.0343,0.0145
435.0,0.0958,39.0209,0.0145
436.0,0.0958,39.0076,0.0145
437.0,0.0958,38.9942,0.0145
438.0,0.0959,38.9809,0.0144
439.0,0.0959,38.9676,0.0144
440.0,0.0959,38.9543,0.0144
441.0,0.0960,38.9410,0.0144
442.0,0.0960,38.9277,0.0144
443.0,0.0960,38.9144,0.0143
444.0,0.0961,38.9011,0.0143
445.0,0.0961,38.8878,0.0143
446.0,0.0961,38.8746,0.0143
447.0,0.0962,38.8613,0.0143
448.0,0.0962,38.8481,0.0143
449.0,0.0962,38.8348,0.0142
450.0,0.0963,38.8216,0.0142
451.0,0.0963,38.8083,0.0142
452.0,0.0963,38.7951,0.0142
453.0,0.0964,38.7819,0.0142
454.0,0.0964,38.7687,0.0141
455.0,0.0964,38.7554,0.0141
456.0,0.0965,38.7422,0.0141
457.0,0.0965,38.7290,0.0141
458.0,0.0965,38.7159,0.0141
459.0,0.0966,38.7027,0.0140
460.0,0.0966,38.6895,0.0140
461.0,0.0966,38.6763,0.0140
462.0,0.0967,38.6632,0.0140
463.0,0.0967,38.6500,0.0140
464.0,0.0967,38.6369,0.0140
465.0,0.0968,38.6237,0.0139
466.0,0.0968,38.6106,0.0139
467.0,0.0968,38.5975,0.0139
468.0,0.0969,38.5843,0.0139
469.0,0.0969,38.5712,0.0139
470.0,0.0969,38.5581,0.0138
471.0,0.0970,38.5450,0.0138
472.0,0.0970,38.5319,0.0138
473.0,0.0970,38.5188,0.0138
474.0,0.0971,38.5058,0.0138
475.0,0.0971,38.4927,0.0137
476.0,0.0971,38.4796,0.0137
477.0,0.0972,38.4666,0.0137
478.0,0.0972,38.4535,0.0137
479.0,0.0972,38.4405,0.0137
480.0,0.0973,38.4274,0.0136
481.0,0.0973,38.4144,0.0136
482.0,0.0973,38.4014,0.0136
483.0,0.0974,38.3883,0.0136
484.0,0.0974,38.3753,0.0136
485.0,0.0974,38.3623,0.0135
486.0,0.0975,38.3493,0.0135
487.0,0.0975,38.3363,0.0135
488.0,0.0975,38.3233,0.0135
489.0,0.0976,38.3103,0.0135
490.0,0.0976,38.2974,0.0134
491.0,0.0976,38.2844,0.0134
492.0,0.0977,38.2714,0.0134
493.0,0.0977,38.2585,0.0134
494.0,0.0977,38.2455,0.0134
495.0,0.0978,38.2326,0.0134
496.0,0.0978,38.2197,0.0133
497.0,0.0978,38.2067,0.0133
498.0,0.0979,38.1938,0.0133
499.0,0.0979,38.1809,0.0133
500.0,0.0979,38.1680,0.0133
501.0,0.0980,38.1551,0.0132
502.0,0.0980,38.1422,0.0132
503.0,0.0980,38.1293,0.0132
504.0,0.0981,38.1164,0.0132
505.0,0.0981,38.1036,0.0132
506.0,0.0981,38.0907,0.0131
507.0,0.0982,38.0778,0.0131
508.0,0.0982,38.0650,0.0131
509.0,0.0982,38.0521,0.0131
510.0,0.0983,38.0393,0.0131
511.0,0.0983,38.0264,0.0130
512.0,0.0983,38.0136,0.0130
513.0,0.0984,38.0008,0.0130
514.0,0.0984,37.9880,0.0130
515.0,0.0984,37.9752,0.0130
516.0,0.0985,37.9624,0.0129
517.0,0.0985,37.9496,0.0129
518.0,0.0985,37.9368,0.0129
519.0,0.0986,37.9240,0.0129
520.0,0.0986,37.9112,0.0129
521.0,0.0986,37.8984,0.0128
522.0,0.0987,37.8857,0.0128
523.0,0.0987,37.8729,0.0128
524.0,0.0987,37.8602,0.0128
525.0,0.0988,37.8474,0.0128
526.0,0.0988,37.8347,0.0127
527.0,0.0988,37.8219,0.0127
528.0,0.0989,37.8092,0.0127
529.0,0.0989,37.7965,0.0127
530.0,0.0989,37.7838,0.0127
531.0,0.0990,37.7711,0.0126
532.0,0.0990,37.7584,0.0126
533.0,0.0990,37.7457,0.0126
534.0,0.0991,37.7330,0.0126
535.0,0.0991,37.7203,0.0126
536.0,0.0991,37.7076,0.0125
537.0,0.0992,37.6950,0.0125
538.0,0.0992,37.6823,0.0125
539.0,0.0992,37.6697,0.0125
540.0,0.0993,37.6570,0.0124
541.0,0.0993,37.6444,0.0124
542.0,0.0993,37.6317,0.0124
543.0,0.0994,37.6191,0.0124
544.0,0.0994,37.6065,0.0124
545.0,0.0994,37.5939,0.0123
546.0,0.0995,37.5812,0.0123
547.0,0.0995,37.5686,0.0123
548.0,0.0995,37.5560,0.0123
549.0,0.0996,37.5435,0.0123
550.0,0.0996,37.5309,0.0122
551.0,0.0996,37.5183,0.0122
552.0,0.0997,37.5057,0.0122
553.0,0.0997,37.4932,0.0122
554.0,0.0997,37.4806,0.0122
555.0,0.0998,37.4680,0.0121
556.0,0.0998,37.4555,0.0121
557.0,0.0998,37.4430,0.0121
558.0,0.0999,37.4304,0.0121
559.0,0.0999,37.4179,0.0121
560.0,0.0999,37.4054,0.0120
561.0,0.1000,37.3929,0.0120
562.0,0.1000,37.3803,0.0120
563.0,0.1000,37.3678,0.0120
564.0,0.1001,37.3553,0.0120
565.0,0.1001,37.3429,0.0119
566.0,0.1001,37.3304,0.0119
567.0,0.1002,37.3179,0.0119
568.0,0.1002,37.3054,0.0119
569.0,0.1002,37.2930,0.0118
570.0,0.1003,37.2805,0.0118
571.0,0.1003,37.2680,0.0118
572.0,0.1003,37.2556,0.0118
573.0,0.1004,37.2432,0.0118
574.0,0.1004,37.2307,0.0117
575.0,0.1004,37.2183,0.0117
576.0,0.1005,37.2059,0.0117
577.0,0.1005,37.1935,0.0117
578.0,0.1005,37.1811,0.0117
579.0,0.1006,37.1687,0.0116
580.0,0.1006,37.1563,0.0116
581.0,0.1006,37.1439,0.0116
582.0,0.1007,37.1315,0.0116
583.0,0.1007,37.1191,0.0116
584.0,0.1007,37.1067,0.0115
585.0,0.1008,37.0944,0.0115
586.0,0.1008,37.0820,0.0115
587.0,0.1008,37.0697,0.0115
588.0,0.1009,37.0573,0.0114
589.0,0.1009,37.0450,0.0114
590.0,0.1009,37.0326,0.0114
591.0,0.1010,37.0203,0.0114
592.0,0.1010,37.0080,0.0114
593.0,0.1010,36.9957,0.0113
594.0,0.1011,36.9834,0.0113
595.0,0.1011,36.9711,0.0113
596.0,0.1011,36.9588,0.0113
597.0,0.1012,36.9465,0.0113
598.0,0.1012,36.9342,0.0112
599.0,0.1012,36.9219,0.0112
