Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K)
0.0       ,0.1372      ,0.0241         ,41.2918        ,500.2778  ,300.00    
1.0       ,0.1373      ,0.0243         ,41.3376        ,500.5556  ,300.01    
2.0       ,0.1375      ,0.0244         ,41.3835        ,500.8334  ,300.01    
3.0       ,0.1376      ,0.0245         ,41.4294        ,501.1112  ,300.02    
4.0       ,0.1378      ,0.0247         ,41.4753        ,501.3890  ,300.02    
5.0       ,0.1379      ,0.0248         ,41.5212        ,501.6668  ,300.03    
6.0       ,0.1381      ,0.0249         ,41.5671        ,501.9446  ,300.03    
7.0       ,0.1382      ,0.0251         ,41.6131        ,502.2224  ,300.04    
8.0       ,0.1384      ,0.0252         ,41.6591        ,502.5002  ,300.04    
9.0       ,0.1385      ,0.0254         ,41.7051        ,502.7780  ,300.05    
10.0      ,0.1387      ,0.0255         ,41.7512        ,503.0558  ,300.05    
11.0      ,0.1388      ,0.0256         ,41.7973        ,503.3336  ,300.06    
12.0      ,0.1390      ,0.0258         ,41.8434        ,503.6114  ,300.06    
13.0      ,0.1391      ,0.0259         ,41.8895        ,503.8892  ,300.07    
14.0      ,0.1393      ,0.0260         ,41.9357        ,504.1670  ,300.07    
15.0      ,0.1394      ,0.0262         ,41.9819        ,504.4448  ,300.08    
16.0      ,0.1396      ,0.0263         ,42.0281        ,504.7226  ,300.08    
17.0      ,0.1398      ,0.0264         ,42.0743        ,505.0004  ,300.09    
18.0      ,0.1399      ,0.0266         ,42.1205        ,505.2782  ,300.09    
19.0      ,0.1401      ,0.0267         ,42.1668        ,505.5560  ,300.10    
20.0      ,0.1402      ,0.0268         ,42.2131        ,505.8338  ,300.10    
21.0      ,0.1404      ,0.0270         ,42.2595        ,506.1116  ,300.11    
22.0      ,0.1405      ,0.0271         ,42.3058        ,506.3894  ,300.12    
23.0      ,0.1407      ,0.0272         ,42.3522        ,506.6672  ,300.12    
24.0      ,0.1408      ,0.0274         ,42.3986        ,506.9450  ,300.13    
25.0      ,0.1410      ,0.0275         ,42.4451        ,507.2228  ,300.13    
26.0      ,0.1411      ,0.0276         ,42.4915        ,507.5006  ,300.14    
27.0      ,0.1413      ,0.0278         ,42.5380        ,507.7784  ,300.14    
28.0      ,0.1414      ,0.0279         ,42.5845        ,508.0562  ,300.15    
29.0      ,0.1416      ,0.0280         ,42.6310        ,508.3340  ,300.15    
30.0      ,0.1418      ,0.0282         ,42.6776        ,508.6118  ,300.16    
31.0      ,0.1419      ,0.0283         ,42.7242        ,508.8896  ,300.16    
32.0      ,0.1421      ,0.0284         ,42.7708        ,509.1674  ,300.17    
33.0      ,0.1422      ,0.0286         ,42.8174        ,509.4452  ,300.17    
34.0      ,0.1424      ,0.0287         ,42.8641        ,509.7230  ,300.18    
35.0      ,0.1425      ,0.0288         ,42.9108        ,510.0008  ,300.18    
36.0      ,0.1427      ,0.0290         ,42.9575        ,510.2786  ,300.19    
37.0      ,0.1428      ,0.0291         ,43.0042        ,510.5564  ,300.19    
38.0      ,0.1430      ,0.0292         ,43.0510        ,510.8342  ,300.20    
39.0      ,0.1432      ,0.0294         ,43.0978        ,511.1120  ,300.20    
40.0      ,0.1433      ,0.0295         ,43.1446        ,511.3898  ,300.21    
41.0      ,0.1435      ,0.0296         ,43.1915        ,511.6676  ,300.21    
42.0      ,0.1436      ,0.0298         ,43.2383        ,511.9454  ,300.22    
43.0      ,0.1438      ,0.0299         ,43.2852        ,512.2232  ,300.23    
44.0      ,0.1439      ,0.0300         ,43.3321        ,512.5010  ,300.23    
45.0      ,0.1441      ,0.0302         ,43.3791        ,512.7788  ,300.24    
46.0      ,0.1442      ,0.0303         ,43.4260        ,513.0566  ,300.24    
47.0      ,0.1444      ,0.0304         ,43.4730        ,513.3344  ,300.25    
48.0      ,0.1446      ,0.0306         ,43.5201        ,513.6122  ,300.25    
49.0      ,0.1447      ,0.0307         ,43.5671        ,513.8900  ,300.26    
50.0      ,0.1449      ,0.0308         ,43.6142        ,514.1678  ,300.26    
51.0      ,0.1450      ,0.0310         ,43.6613        ,514.4456  ,300.27    
52.0      ,0.1452      ,0.0311         ,43.7084        ,514.7234  ,300.27    
53.0      ,0.1453      ,0.0312         ,43.7555        ,515.0012  ,300.28    
54.0      ,0.1455      ,0.0314         ,43.8027        ,515.2790  ,300.28    
55.0      ,0.1457      ,0.0315         ,43.8499        ,515.5568  ,300.29    
56.0      ,0.1458      ,0.0316         ,43.8971        ,515.8346  ,300.29    
57.0      ,0.1460      ,0.0318         ,43.9444        ,516.1124  ,300.30    
58.0      ,0.1461      ,0.0319         ,43.9916        ,516.3902  ,300.30    
59.0      ,0.1463      ,0.0320         ,44.0389        ,516.6680  ,300.31    
60.0      ,0.1464      ,0.0322         ,44.0862        ,516.9458  ,300.31    
61.0      ,0.1466      ,0.0323         ,44.1336        ,517.2236  ,300.32    
62.0      ,0.1468      ,0.0324         ,44.1810        ,517.5014  ,300.32    
63.0      ,0.1469      ,0.0326         ,44.2284        ,517.7792  ,300.33    
64.0      ,0.1471      ,0.0327         ,44.2758        ,518.0570  ,300.33    
65.0      ,0.1472      ,0.0328         ,44.3232        ,518.3348  ,300.34    
66.0      ,0.1474      ,0.0330         ,44.3707        ,518.6126  ,300.35    
67.0      ,0.1475      ,0.0331         ,44.4182        ,518.8904  ,300.35    
68.0      ,0.1477      ,0.0332         ,44.4657        ,519.1682  ,300.36    
69.0      ,0.1479      ,0.0334         ,44.5133        ,519.4460  ,300.36    
70.0      ,0.1480      ,0.0335         ,44.5609        ,519.7238  ,300.37    
71.0      ,0.1482      ,0.0336         ,44.6085        ,520.0016  ,300.37    
72.0      ,0.1483      ,0.0338         ,44.6561        ,520.2794  ,300.38    
73.0      ,0.1485      ,0.0339         ,44.7037        ,520.5572  ,300.38    
74.0      ,0.1487      ,0.0340         ,44.7514        ,520.8350  ,300.39    
75.0      ,0.1488      ,0.0342         ,44.7991        ,521.1128  ,300.39    
76.0      ,0.1490      ,0.0343         ,44.8469        ,521.3906  ,300.40    
77.0      ,0.1491      ,0.0344         ,44.8946        ,521.6684  ,300.40    
78.0      ,0.1493      ,0.0346         ,44.9424        ,521.9462  ,300.41    
79.0      ,0.1494      ,0.0347         ,44.9902        ,522.2240  ,300.41    
80.0      ,0.1496      ,0.0348         ,45.0380        ,522.5018  ,300.42    
81.0      ,0.1498      ,0.0350         ,45.0859        ,522.7796  ,300.42    
82.0      ,0.1499      ,0.0351         ,45.1338        ,523.0574  ,300.43    
83.0      ,0.1501      ,0.0352         ,45.1817        ,523.3352  ,300.43    
84.0      ,0.1502      ,0.0354         ,45.2296        ,523.6130  ,300.44    
85.0      ,0.1504      ,0.0355         ,45.2775        ,523.8908  ,300.44    
86.0      ,0.1506      ,0.0356         ,45.3255        ,524.1686  ,300.45    
87.0      ,0.1507      ,0.0358         ,45.3735        ,524.4464  ,300.45    
88.0      ,0.1509      ,0.0359         ,45.4216        ,524.7242  ,300.46    
89.0      ,0.1510      ,0.0360         ,45.4696        ,525.0020  ,300.47    
90.0      ,0.1512      ,0.0361         ,45.5177        ,525.2798  ,300.47    
91.0      ,0.1514      ,0.0363         ,45.5658        ,525.5576  ,300.48    
92.0      ,0.1515      ,0.0364         ,45.6140        ,525.8354  ,300.48    
93.0      ,0.1517      ,0.0365         ,45.6621        ,526.1132  ,300.49    
94.0      ,0.1518      ,0.0367         ,45.7103        ,526.3910  ,300.49    
95.0      ,0.1520      ,0.0368         ,45.7585        ,526.6688  ,300.50    
96.0      ,0.1522      ,0.0369         ,45.8067        ,526.9466  ,300.50    
97.0      ,0.1523      ,0.0371         ,45.8550        ,527.2244  ,300.51    
98.0      ,0.1525      ,0.0372         ,45.9033        ,527.5022  ,300.51    
99.0      ,0.1526      ,0.0373         ,45.9516        ,527.7800  ,300.52    
100.0     ,0.1528      ,0.0375         ,45.9999        ,528.0578  ,300.52    
101.0     ,0.1530      ,0.0376         ,46.0483        ,528.3356  ,300.53    
102.0     ,0.1531      ,0.0377         ,46.0967        ,528.6134  ,300.53    
103.0     ,0.1533      ,0.0379         ,46.1451        ,528.8912  ,300.54    
104.0     ,0.1534      ,0.0380         ,46.1935        ,529.1690  ,300.54    
105.0     ,0.1536      ,0.0381         ,46.2420        ,529.4468  ,300.55    
106.0     ,0.1538      ,0.0383         ,46.2905        ,529.7246  ,300.55    
107.0     ,0.1539      ,0.0384         ,46.3390        ,530.0024  ,300.56    
108.0     ,0.1541      ,0.0385         ,46.3875        ,530.2802  ,300.56    
109.0     ,0.1543      ,0.0387         ,46.4361        ,530.5580  ,300.57    
110.0     ,0.1544      ,0.0388         ,46.4847        ,530.8358  ,300.57    
111.0     ,0.1546      ,0.0389         ,46.5333        ,531.1136  ,300.58    
112.0     ,0.1547      ,0.0390         ,46.5820        ,531.3914  ,300.59    
113.0     ,0.1549      ,0.0392         ,46.6306        ,531.6692  ,300.59    
114.0     ,0.1551      ,0.0393         ,46.6793        ,531.9470  ,300.60    
115.0     ,0.1552      ,0.0394         ,46.7280        ,532.2248  ,300.60    
116.0     ,0.1554      ,0.0396         ,46.7768        ,532.5026  ,300.61    
117.0     ,0.1555      ,0.0397         ,46.8255        ,532.7804  ,300.61    
118.0     ,0.1557      ,0.0398         ,46.8743        ,533.0582  ,300.62    
119.0     ,0.1559      ,0.0400         ,46.9232        ,533.3360  ,300.62    
120.0     ,0.1560      ,0.0401         ,46.9720        ,533.6138  ,300.63    
121.0     ,0.1562      ,0.0402         ,47.0209        ,533.8916  ,300.63    
122.0     ,0.1564      ,0.0404         ,47.0698        ,534.1694  ,300.64    
123.0     ,0.1565      ,0.0405         ,47.1187        ,534.4472  ,300.64    
124.0     ,0.1567      ,0.0406         ,47.1676        ,534.7250  ,300.65    
125.0     ,0.1568      ,0.0407         ,47.2166        ,535.0028  ,300.65    
126.0     ,0.1570      ,0.0409         ,47.2656        ,535.2806  ,300.66    
127.0     ,0.1572      ,0.0410         ,47.3146        ,535.5584  ,300.66    
128.0     ,0.1573      ,0.0411         ,47.3637        ,535.8362  ,300.67    
129.0     ,0.1575      ,0.0413         ,47.4127        ,536.1140  ,300.67    
130.0     ,0.1577      ,0.0414         ,47.4618        ,536.3918  ,300.68    
131.0     ,0.1578      ,0.0415         ,47.5110        ,536.6696  ,300.68    
132.0     ,0.1580      ,0.0417         ,47.5601        ,536.9474  ,300.69    
133.0     ,0.1582      ,0.0418         ,47.6093        ,537.2252  ,300.69    
134.0     ,0.1583      ,0.0419         ,47.6585        ,537.5030  ,300.70    
135.0     ,0.1585      ,0.0421         ,47.7077        ,537.7808  ,300.70    
136.0     ,0.1586      ,0.0422         ,47.7569        ,538.0586  ,300.71    
137.0     ,0.1588      ,0.0423         ,47.8062        ,538.3364  ,300.71    
138.0     ,0.1590      ,0.0425         ,47.8555        ,538.6142  ,300.72    
139.0     ,0.1591      ,0.0426         ,47.9048        ,538.8920  ,300.73    
140.0     ,0.1593      ,0.0427         ,47.9542        ,539.1698  ,300.73    
141.0     ,0.1595      ,0.0428         ,48.0036        ,539.4476  ,300.74    
142.0     ,0.1596      ,0.0430         ,48.0530        ,539.7254  ,300.74    
143.0     ,0.1598      ,0.0431         ,48.1024        ,540.0032  ,300.75    
144.0     ,0.1600      ,0.0432         ,48.1519        ,540.2810  ,300.75    
145.0     ,0.1601      ,0.0434         ,48.2013        ,540.5588  ,300.76    
146.0     ,0.1603      ,0.0435         ,48.2508        ,540.8366  ,300.76    
147.0     ,0.1605      ,0.0436         ,48.3004        ,541.1144  ,300.77    
148.0     ,0.1606      ,0.0438         ,48.3499        ,541.3922  ,300.77    
149.0     ,0.1608      ,0.0439         ,48.3995        ,541.6700  ,300.78    
150.0     ,0.1609      ,0.0440         ,48.4491        ,541.9478  ,300.78    
151.0     ,0.1611      ,0.0441         ,48.4987        ,542.2256  ,300.79    
152.0     ,0.1613      ,0.0443         ,48.5484        ,542.5034  ,300.79    
153.0     ,0.1614      ,0.0444         ,48.5981        ,542.7812  ,300.80    
154.0     ,0.1616      ,0.0445         ,48.6478        ,543.0590  ,300.80    
155.0     ,0.1618      ,0.0447         ,48.6975        ,543.3368  ,300.81    
156.0     ,0.1619      ,0.0448         ,48.7473        ,543.6146  ,300.81    
157.0     ,0.1621      ,0.0449         ,48.7970        ,543.8924  ,300.82    
158.0     ,0.1623      ,0.0451         ,48.8469        ,544.1702  ,300.82    
159.0     ,0.1624      ,0.0452         ,48.8967        ,544.4480  ,300.83    
160.0     ,0.1626      ,0.0453         ,48.9465        ,544.7258  ,300.83    
161.0     ,0.1628      ,0.0455         ,48.9964        ,545.0036  ,300.84    
162.0     ,0.1629      ,0.0456         ,49.0463        ,545.2814  ,300.84    
163.0     ,0.1631      ,0.0457         ,49.0963        ,545.5592  ,300.85    
164.0     ,0.1633      ,0.0458         ,49.1462        ,545.8370  ,300.85    
165.0     ,0.1634      ,0.0460         ,49.1962        ,546.1148  ,300.86    
166.0     ,0.1636      ,0.0461         ,49.2462        ,546.3926  ,300.86    
167.0     ,0.1638      ,0.0462         ,49.2963        ,546.6704  ,300.87    
168.0     ,0.1639      ,0.0464         ,49.3463        ,546.9482  ,300.88    
169.0     ,0.1641      ,0.0465         ,49.3964        ,547.2260  ,300.88    
170.0     ,0.1643      ,0.0466         ,49.4465        ,547.5038  ,300.89    
171.0     ,0.1644      ,0.0468         ,49.4967        ,547.7816  ,300.89    
172.0     ,0.1646      ,0.0469         ,49.5468        ,548.0594  ,300.90    
173.0     ,0.1648      ,0.0470         ,49.5970        ,548.3372  ,300.90    
174.0     ,0.1649      ,0.0471         ,49.6472        ,548.6150  ,300.91    
175.0     ,0.1651      ,0.0473         ,49.6975        ,548.8928  ,300.91    
176.0     ,0.1653      ,0.0474         ,49.7477        ,549.1706  ,300.92    
177.0     ,0.1654      ,0.0475         ,49.7980        ,549.4484  ,300.92    
178.0     ,0.1656      ,0.0477         ,49.8483        ,549.7262  ,300.93    
179.0     ,0.1658      ,0.0478         ,49.8987        ,550.0040  ,300.93    
180.0     ,0.1659      ,0.0479         ,49.9490        ,550.2818  ,300.94    
181.0     ,0.1661      ,0.0481         ,49.9994        ,550.5596  ,300.94    
182.0     ,0.1663      ,0.0482         ,50.0498        ,550.8374  ,300.95    
183.0     ,0.1664      ,0.0483         ,50.1003        ,551.1152  ,300.95    
184.0     ,0.1666      ,0.0484         ,50.1507        ,551.3930  ,300.96    
185.0     ,0.1668      ,0.0486         ,50.2012        ,551.6708  ,300.96    
186.0     ,0.1669      ,0.0487         ,50.2518        ,551.9486  ,300.97    
187.0     ,0.1671      ,0.0488         ,50.3023        ,552.2264  ,300.97    
188.0     ,0.1673      ,0.0490         ,50.3529        ,552.5042  ,300.98    
189.0     ,0.1674      ,0.0491         ,50.4035        ,552.7820  ,300.98    
190.0     ,0.1676      ,0.0492         ,50.4541        ,553.0598  ,300.99    
191.0     ,0.1678      ,0.0493         ,50.5047        ,553.3376  ,300.99    
192.0     ,0.1679      ,0.0495         ,50.5554        ,553.6154  ,301.00    
193.0     ,0.1681      ,0.0496         ,50.6061        ,553.8932  ,301.00    
194.0     ,0.1683      ,0.0497         ,50.6568        ,554.1710  ,301.01    
195.0     ,0.1685      ,0.0499         ,50.7076        ,554.4488  ,301.01    
196.0     ,0.1686      ,0.0500         ,50.7583        ,554.7266  ,301.02    
197.0     ,0.1688      ,0.0501         ,50.8091        ,555.0044  ,301.02    
198.0     ,0.1690      ,0.0503         ,50.8599        ,555.2822  ,301.03    
199.0     ,0.1691      ,0.0504         ,50.9108        ,555.5600  ,301.03    
200.0     ,0.1693      ,0.0505         ,50.9617        ,555.8378  ,301.04    
201.0     ,0.1695      ,0.0506         ,51.0126        ,556.1156  ,301.04    
202.0     ,0.1696      ,0.0508         ,51.0635        ,556.3934  ,301.05    
203.0     ,0.1698      ,0.0509         ,51.1144        ,556.6712  ,301.05    
204.0     ,0.1700      ,0.0510         ,51.1654        ,556.9490  ,301.06    
205.0     ,0.1701      ,0.0512         ,51.2164        ,557.2268  ,301.07    
206.0     ,0.1703      ,0.0513         ,51.2674        ,557.5046  ,301.07    
207.0     ,0.1705      ,0.0514         ,51.3185        ,557.7824  ,301.08    
208.0     ,0.1707      ,0.0516         ,51.3695        ,558.0602  ,301.08    
209.0     ,0.1708      ,0.0517         ,51.4206        ,558.3380  ,301.09    
210.0     ,0.1710      ,0.0518         ,51.4718        ,558.6158  ,301.09    
211.0     ,0.1712      ,0.0519         ,51.5229        ,558.8936  ,301.10    
212.0     ,0.1713      ,0.0521         ,51.5741        ,559.1714  ,301.10    
213.0     ,0.1715      ,0.0522         ,51.6253        ,559.4492  ,301.11    
214.0     ,0.1717      ,0.0523         ,51.6765        ,559.7270  ,301.11    
215.0     ,0.1718      ,0.0525         ,51.7278        ,560.0048  ,301.12    
216.0     ,0.1720      ,0.0526         ,51.7791        ,560.2826  ,301.12    
217.0     ,0.1722      ,0.0527         ,51.8304        ,560.5604  ,301.13    
218.0     ,0.1724      ,0.0528         ,51.8817        ,560.8382  ,301.13    
219.0     ,0.1725      ,0.0530         ,51.9330        ,561.1160  ,301.14    
220.0     ,0.1727      ,0.0531         ,51.9844        ,561.3938  ,301.14    
221.0     ,0.1729      ,0.0532         ,52.0358        ,561.6716  ,301.15    
222.0     ,0.1730      ,0.0534         ,52.0873        ,561.9494  ,301.15    
223.0     ,0.1732      ,0.0535         ,52.1387        ,562.2272  ,301.16    
224.0     ,0.1734      ,0.0536         ,52.1902        ,562.5050  ,301.16    
225.0     ,0.1736      ,0.0538         ,52.2417        ,562.7828  ,301.17    
226.0     ,0.1737      ,0.0539         ,52.2932        ,563.0606  ,301.17    
227.0     ,0.1739      ,0.0540         ,52.3448        ,563.3384  ,301.18    
228.0     ,0.1741      ,0.0541         ,52.3964        ,563.6162  ,301.18    
229.0     ,0.1742      ,0.0543         ,52.4480        ,563.8940  ,301.19    
230.0     ,0.1744      ,0.0544         ,52.4996        ,564.1718  ,301.19    
231.0     ,0.1746      ,0.0545         ,52.5513        ,564.4496  ,301.20    
232.0     ,0.1748      ,0.0547         ,52.6030        ,564.7274  ,301.20    
233.0     ,0.1749      ,0.0548         ,52.6547        ,565.0052  ,301.21    
234.0     ,0.1751      ,0.0549         ,52.7064        ,565.2830  ,301.21    
235.0     ,0.1753      ,0.0550         ,52.7582        ,565.5608  ,301.22    
236.0     ,0.1754      ,0.0552         ,52.8099        ,565.8386  ,301.22    
237.0     ,0.1756      ,0.0553         ,52.8617        ,566.1164  ,301.23    
238.0     ,0.1758      ,0.0554         ,52.9136        ,566.3942  ,301.23    
239.0     ,0.1760      ,0.0556         ,52.9654        ,566.6720  ,301.24    
240.0     ,0.1761      ,0.0557         ,53.0173        ,566.9498  ,301.24    
241.0     ,0.1763      ,0.0558         ,53.0692        ,567.2276  ,301.25    
242.0     ,0.1765      ,0.0559         ,53.1212        ,567.5054  ,301.25    
243.0     ,0.1767      ,0.0561         ,53.1731        ,567.7832  ,301.26    
244.0     ,0.1768      ,0.0562         ,53.2251        ,568.0610  ,301.26    
245.0     ,0.1770      ,0.0563         ,53.2771        ,568.3388  ,301.27    
246.0     ,0.1772      ,0.0565         ,53.3292        ,568.6166  ,301.27    
247.0     ,0.1773      ,0.0566         ,53.3812        ,568.8944  ,301.28    
248.0     ,0.1775      ,0.0567         ,53.4333        ,569.1722  ,301.28    
249.0     ,0.1777      ,0.0568         ,53.4854        ,569.4500  ,301.29    
250.0     ,0.1779      ,0.0570         ,53.5376        ,569.7278  ,301.29    
251.0     ,0.1780      ,0.0571         ,53.5897        ,570.0056  ,301.30    
252.0     ,0.1782      ,0.0572         ,53.6419        ,570.2834  ,301.30    
253.0     ,0.1784      ,0.0574         ,53.6942        ,570.5612  ,301.31    
254.0     ,0.1786      ,0.0575         ,53.7464        ,570.8390  ,301.31    
255.0     ,0.1787      ,0.0576         ,53.7987        ,571.1168  ,301.32    
256.0     ,0.1789      ,0.0578         ,53.8510        ,571.3946  ,301.32    
257.0     ,0.1791      ,0.0579         ,53.9033        ,571.6724  ,301.33    
258.0     ,0.1793      ,0.0580         ,53.9556        ,571.9502  ,301.33    
259.0     ,0.1794      ,0.0581         ,54.0080        ,572.2280  ,301.34    
260.0     ,0.1796      ,0.0583         ,54.0604        ,572.5058  ,301.34    
261.0     ,0.1798      ,0.0584         ,54.1128        ,572.7836  ,301.35    
262.0     ,0.1800      ,0.0585         ,54.1652        ,573.0614  ,301.35    
263.0     ,0.1801      ,0.0587         ,54.2177        ,573.3392  ,301.36    
264.0     ,0.1803      ,0.0588         ,54.2702        ,573.6170  ,301.36    
265.0     ,0.1805      ,0.0589         ,54.3227        ,573.8948  ,301.37    
266.0     ,0.1806      ,0.0590         ,54.3753        ,574.1726  ,301.37    
267.0     ,0.1808      ,0.0592         ,54.4278        ,574.4504  ,301.38    
268.0     ,0.1810      ,0.0593         ,54.4804        ,574.7282  ,301.38    
269.0     ,0.1812      ,0.0594         ,54.5330        ,575.0060  ,301.39    
270.0     ,0.1813      ,0.0596         ,54.5857        ,575.2838  ,301.39    
271.0     ,0.1815      ,0.0597         ,54.6384        ,575.5616  ,301.40    
272.0     ,0.1817      ,0.0598         ,54.6911        ,575.8394  ,301.41    
273.0     ,0.1819      ,0.0599         ,54.7438        ,576.1172  ,301.41    
274.0     ,0.1820      ,0.0601         ,54.7965        ,576.3950  ,301.42    
275.0     ,0.1822      ,0.0602         ,54.8493        ,576.6728  ,301.42    
276.0     ,0.1824      ,0.0603         ,54.9021        ,576.9506  ,301.43    
277.0     ,0.1826      ,0.0605         ,54.9549        ,577.2284  ,301.43    
278.0     ,0.1828      ,0.0606         ,55.0078        ,577.5062  ,301.44    
279.0     ,0.1829      ,0.0607         ,55.0607        ,577.7840  ,301.44    
280.0     ,0.1831      ,0.0608         ,55.1136        ,578.0618  ,301.45    
281.0     ,0.1833      ,0.0610         ,55.1665        ,578.3396  ,301.45    
282.0     ,0.1835      ,0.0611         ,55.2194        ,578.6174  ,301.46    
283.0     ,0.1836      ,0.0612         ,55.2724        ,578.8952  ,301.46    
284.0     ,0.1838      ,0.0614         ,55.3254        ,579.1730  ,301.47    
285.0     ,0.1840      ,0.0615         ,55.3784        ,579.4508  ,301.47    
286.0     ,0.1842      ,0.0616         ,55.4315        ,579.7286  ,301.48    
287.0     ,0.1843      ,0.0617         ,55.4846        ,580.0064  ,301.48    
288.0     ,0.1845      ,0.0619         ,55.5377        ,580.2842  ,301.49    
289.0     ,0.1847      ,0.0620         ,55.5908        ,580.5620  ,301.49    
290.0     ,0.1849      ,0.0621         ,55.6439        ,580.8398  ,301.50    
291.0     ,0.1850      ,0.0623         ,55.6971        ,581.1176  ,301.50    
292.0     ,0.1852      ,0.0624         ,55.7503        ,581.3954  ,301.51    
293.0     ,0.1854      ,0.0625         ,55.8036        ,581.6732  ,301.51    
294.0     ,0.1856      ,0.0626         ,55.8568        ,581.9510  ,301.52    
295.0     ,0.1858      ,0.0628         ,55.9101        ,582.2288  ,301.52    
296.0     ,0.1859      ,0.0629         ,55.9634        ,582.5066  ,301.53    
297.0     ,0.1861      ,0.0630         ,56.0167        ,582.7844  ,301.53    
298.0     ,0.1863      ,0.0632         ,56.0701        ,583.0622  ,301.54    
299.0     ,0.1865      ,0.0633         ,56.1235        ,583.3400  ,301.54    
300.0     ,0.1866      ,0.0634         ,56.1769        ,583.6178  ,301.55    
301.0     ,0.1868      ,0.0635         ,56.2303        ,583.8956  ,301.55    
302.0     ,0.1870      ,0.0637         ,56.2838        ,584.1734  ,301.56    
303.0     ,0.1872      ,0.0638         ,56.3372        ,584.4512  ,301.56    
304.0     ,0.1874      ,0.0639         ,56.3907        ,584.7290  ,301.56    
305.0     ,0.1875      ,0.0641         ,56.4443        ,585.0068  ,301.57    
306.0     ,0.1877      ,0.0642         ,56.4978        ,585.2846  ,301.57    
307.0     ,0.1879      ,0.0643         ,56.5514        ,585.5624  ,301.58    
308.0     ,0.1881      ,0.0644         ,56.6050        ,585.8402  ,301.58    
309.0     ,0.1882      ,0.0646         ,56.6587        ,586.1180  ,301.59    
310.0     ,0.1884      ,0.0647         ,56.7123        ,586.3958  ,301.59    
311.0     ,0.1886      ,0.0648         ,56.7660        ,586.6736  ,301.60    
312.0     ,0.1888      ,0.0650         ,56.8197        ,586.9514  ,301.60    
313.0     ,0.1890      ,0.0651         ,56.8735        ,587.2292  ,301.61    
314.0     ,0.1891      ,0.0652         ,56.9272        ,587.5070  ,301.61    
315.0     ,0.1893      ,0.0653         ,56.9810        ,587.7848  ,301.62    
316.0     ,0.1895      ,0.0655         ,57.0348        ,588.0626  ,301.62    
317.0     ,0.1897      ,0.0656         ,57.0887        ,588.3404  ,301.63    
318.0     ,0.1899      ,0.0657         ,57.1425        ,588.6182  ,301.63    
319.0     ,0.1900      ,0.0659         ,57.1964        ,588.8960  ,301.64    
320.0     ,0.1902      ,0.0660         ,57.2503        ,589.1738  ,301.64    
321.0     ,0.1904      ,0.0661         ,57.3043        ,589.4516  ,301.65    
322.0     ,0.1906      ,0.0662         ,57.3582        ,589.7294  ,301.65    
323.0     ,0.1907      ,0.0664         ,57.4122        ,590.0072  ,301.66    
324.0     ,0.1909      ,0.0665         ,57.4662        ,590.2850  ,301.66    
325.0     ,0.1911      ,0.0666         ,57.5203        ,590.5628  ,301.67    
326.0     ,0.1913      ,0.0668         ,57.5743        ,590.8406  ,301.67    
327.0     ,0.1915      ,0.0669         ,57.6284        ,591.1184  ,301.68    
328.0     ,0.1916      ,0.0670         ,57.6825        ,591.3962  ,301.68    
329.0     ,0.1918      ,0.0671         ,57.7367        ,591.6740  ,301.69    
330.0     ,0.1920      ,0.0673         ,57.7908        ,591.9518  ,301.69    
331.0     ,0.1922      ,0.0674         ,57.8450        ,592.2296  ,301.70    
332.0     ,0.1924      ,0.0675         ,57.8993        ,592.5074  ,301.70    
333.0     ,0.1925      ,0.0677         ,57.9535        ,592.7852  ,301.71    
334.0     ,0.1927      ,0.0678         ,58.0078        ,593.0630  ,301.71    
335.0     ,0.1929      ,0.0679         ,58.0621        ,593.3408  ,301.72    
336.0     ,0.1931      ,0.0680         ,58.1164        ,593.6186  ,301.72    
337.0     ,0.1933      ,0.0682         ,58.1707        ,593.8964  ,301.73    
338.0     ,0.1935      ,0.0683         ,58.2251        ,594.1742  ,301.73    
339.0     ,0.1936      ,0.0684         ,58.2795        ,594.4520  ,301.74    
340.0     ,0.1938      ,0.0686         ,58.3339        ,594.7298  ,301.74    
341.0     ,0.1940      ,0.0687         ,58.3884        ,595.0076  ,301.75    
342.0     ,0.1942      ,0.0688         ,58.4428        ,595.2854  ,301.75    
343.0     ,0.1944      ,0.0689         ,58.4973        ,595.5632  ,301.76    
344.0     ,0.1945      ,0.0691         ,58.5518        ,595.8410  ,301.76    
345.0     ,0.1947      ,0.0692         ,58.6064        ,596.1188  ,301.77    
346.0     ,0.1949      ,0.0693         ,58.6610        ,596.3966  ,301.77    
347.0     ,0.1951      ,0.0695         ,58.7156        ,596.6744  ,301.78    
348.0     ,0.1953      ,0.0696         ,58.7702        ,596.9522  ,301.78    
349.0     ,0.1954      ,0.0697         ,58.8248        ,597.2300  ,301.79    
350.0     ,0.1956      ,0.0698         ,58.8795        ,597.5078  ,301.79    
351.0     ,0.1958      ,0.0700         ,58.9342        ,597.7856  ,301.80    
352.0     ,0.1960      ,0.0701         ,58.9889        ,598.0634  ,301.80    
353.0     ,0.1962      ,0.0702         ,59.0437        ,598.3412  ,301.81    
354.0     ,0.1964      ,0.0704         ,59.0984        ,598.6190  ,301.81    
355.0     ,0.1965      ,0.0705         ,59.1532        ,598.8968  ,301.82    
356.0     ,0.1967      ,0.0706         ,59.2081        ,599.1746  ,301.82    
